cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,0.5,0.5,1.0,0.6666666666666666,0.0,0.8500000000000001
CWE-120,0.5,0.5,1.0,0.6666666666666666,1.0,0.8500000000000001
CWE-125,0.3333333333333333,0.4,0.6666666666666666,0.5,0.3888888888888889,0.8333333333333334
CWE-134,0.5,0.5,1.0,0.6666666666666666,0.5,0.8
CWE-190,0.5,0.5,0.5,0.5,0.4444444444444444,0.8500000000000001
CWE-200,0.5,0.0,0.0,0.0,0.0,0.8500000000000001
CWE-276,0.5,0.5,1.0,0.6666666666666666,0.5,0.9
CWE-295,0.5,0.5,1.0,0.6666666666666666,0.0,0.8500000000000001
CWE-354,1.0,1.0,1.0,1.0,1.0,0.9
CWE-362,0.5,0.5,1.0,0.6666666666666666,0.5,0.9
CWE-369,0.1666666666666666,0.25,0.3333333333333333,0.2857142857142857,0.0555555555555555,0.85
CWE-401,0.5,0.5,0.5,0.5,0.5,0.8
CWE-415,0.5,0.5,1.0,0.6666666666666666,0.5,0.9
CWE-416,0.5,0.0,0.0,0.0,0.5,0.8
CWE-476,0.6153846153846154,0.6,0.6923076923076923,0.6428571428571429,0.5769230769230769,0.8615384615384615
CWE-617,0.5833333333333334,0.6,0.5,0.5454545454545454,0.4861111111111111,0.8583333333333335
CWE-703,0.5,0.5,0.8333333333333334,0.625,0.5,0.8666666666666668
CWE-754,0.5,0.0,0.0,0.0,0.5,0.9
CWE-787,0.375,0.4,0.5,0.4444444444444444,0.4375,0.8500000000000001
CWE-843,0.3333333333333333,0.4,0.6666666666666666,0.5,0.2222222222222222,0.8333333333333335
CWE-862,0.5,0.0,0.0,0.0,0.5,0.9
CWE-908,0.5,0.0,0.0,0.0,0.0,0.8500000000000001
CWE-909,1.0,1.0,1.0,1.0,1.0,0.8
