cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,1.0,0.0,1.0,0.0
CWE-120,1.0,0.0,1.0,0.0
CWE-125,0.6666666666666666,0.0,1.0,0.3333333333333333
CWE-134,1.0,0.0,1.0,0.0
CWE-190,0.5,0.5,0.5,0.5
CWE-200,0.0,1.0,0.0,1.0
CWE-276,1.0,0.0,1.0,0.0
CWE-295,1.0,0.0,1.0,0.0
CWE-354,1.0,1.0,0.0,0.0
CWE-362,1.0,0.0,1.0,0.0
CWE-369,0.3333333333333333,0.0,1.0,0.6666666666666666
CWE-401,0.5,0.5,0.5,0.5
CWE-415,1.0,0.0,1.0,0.0
CWE-416,0.0,1.0,0.0,1.0
CWE-476,0.6923076923076923,0.5384615384615384,0.4615384615384615,0.3076923076923077
CWE-617,0.5,0.6666666666666666,0.3333333333333333,0.5
CWE-703,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.1666666666666666
CWE-754,0.0,1.0,0.0,1.0
CWE-787,0.5,0.25,0.75,0.5
CWE-843,0.6666666666666666,0.0,1.0,0.3333333333333333
CWE-862,0.0,1.0,0.0,1.0
CWE-908,0.0,1.0,0.0,1.0
CWE-909,1.0,1.0,0.0,0.0
