cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,1.0,0.0,1.0,0.0
CWE-125,1.0,0.0,1.0,0.0
CWE-190,1.0,0.0,1.0,0.0
CWE-20,1.0,0.0,0.0,0.0
CWE-22,1.0,0.0,1.0,0.0
CWE-269,1.0,0.0,0.0,0.0
CWE-287,1.0,0.0,0.0,0.0
CWE-306,1.0,0.0,1.0,0.0
CWE-352,1.0,0.0,0.0,0.0
CWE-362,1.0,0.0,1.0,0.0
CWE-416,1.0,0.0,0.0,0.0
CWE-434,1.0,0.0,1.0,0.0
CWE-476,1.0,0.0,0.0,0.0
CWE-502,1.0,1.0,0.0,0.0
CWE-77,0.75,0.5,0.5,0.25
CWE-78,1.0,0.0,0.0,0.0
CWE-787,1.0,0.0,0.0,0.0
CWE-79,1.0,0.0,0.0,0.0
CWE-798,1.0,0.0,0.0,0.0
CWE-862,1.0,0.0,0.0,0.0
CWE-863,1.0,0.0,0.0,0.0
CWE-89,1.0,0.0,1.0,0.0
CWE-94,1.0,1.0,0.0,0.0
