true_cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,0.692,0.647,0.846,0.733,0.678,0.971
CWE-125,0.487,0.486,0.462,0.474,0.486,0.965
CWE-190,0.611,0.667,0.444,0.533,0.605,0.986
CWE-20,0.364,0.385,0.455,0.417,0.347,0.984
CWE-22,0.182,0.2,0.167,0.182,0.15,0.964
CWE-269,0.375,0.4,0.5,0.444,0.312,0.969
CWE-276,0.25,0.333,0.5,0.4,0.375,0.988
CWE-362,0.562,0.556,0.625,0.588,0.5,0.959
CWE-416,0.605,0.591,0.684,0.634,0.571,0.967
CWE-434,1.0,0.0,0.0,0.0,0.0,1.0
CWE-476,0.544,0.548,0.5,0.523,0.522,0.967
CWE-787,0.553,0.556,0.526,0.541,0.51,0.964
CWE-79,0.75,1.0,0.5,0.667,0.625,0.988
CWE-862,1.0,1.0,1.0,1.0,1.0,0.95
CWE-863,0.0,0.0,0.0,0.0,0.0,1.0
CWE-94,0.0,0.0,0.0,0.0,0.0,0.95
