true_cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.4615384615384615,0.8750000000000001
CWE-125,0.5256410256410257,0.5277777777777778,0.4871794871794871,0.5066666666666667,0.5512820512820513,0.862179487179487
CWE-190,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.25,0.3518518518518518,0.8722222222222222
CWE-20,0.4285714285714285,0.4,0.4,0.4,0.4454545454545455,0.8690476190476191
CWE-22,0.4545454545454545,0.5,0.5,0.5,0.5333333333333333,0.868181818181818
CWE-269,0.875,0.8,1.0,0.8888888888888888,0.8125,0.84375
CWE-276,0.5,0.5,0.5,0.5,0.5,0.85
CWE-362,0.625,0.6,0.75,0.6666666666666666,0.640625,0.8531249999999999
CWE-416,0.4210526315789473,0.3846153846153846,0.2631578947368421,0.3125,0.445983379501385,0.8592105263157894
CWE-434,1.0,0.0,0.0,0.0,0.0,0.85
CWE-476,0.5588235294117647,0.5666666666666667,0.5,0.53125,0.5484429065743944,0.8647058823529411
CWE-787,0.5526315789473685,0.546875,0.6140350877192983,0.5785123966942148,0.582486919052016,0.8614035087719297
CWE-79,0.5,0.0,0.0,0.0,0.25,0.8374999999999999
CWE-862,0.5,0.5,1.0,0.6666666666666666,0.5,0.85
CWE-863,0.0,0.0,0.0,0.0,0.0,0.8
CWE-94,0.5,0.0,0.0,0.0,0.375,0.8875
