cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-104,0.5,0.0,0.0,0.0,0.5,0.8
CWE-1069,1.0,1.0,1.0,1.0,1.0,0.85
CWE-1255,1.0,1.0,1.0,1.0,0.0,0.85
CWE-135,1.0,1.0,1.0,1.0,0.0,0.9
CWE-300,1.0,1.0,1.0,1.0,0.0,0.9
CWE-307,0.75,0.75,1.0,0.857,0.5,0.9
CWE-309,1.0,1.0,1.0,1.0,0.0,0.9
CWE-336,1.0,1.0,1.0,1.0,0.0,0.9
CWE-338,1.0,1.0,1.0,1.0,0.0,0.9
CWE-594,1.0,1.0,1.0,1.0,1.0,0.8
CWE-763,0.571,0.571,1.0,0.727,0.5,0.9
CWE-790,1.0,1.0,1.0,1.0,0.0,0.9
CWE-797,1.0,1.0,1.0,1.0,0.0,0.9
CWE-799,0.5,0.5,1.0,0.667,0.5,0.9
CWE-909,1.0,1.0,1.0,1.0,1.0,0.9
CWE-95,1.0,1.0,1.0,1.0,1.0,0.867
