cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,1.0,0.0,1.0,0.0
CWE-120,1.0,0.0,1.0,0.0
CWE-125,0.667,0.0,1.0,0.333
CWE-134,1.0,0.0,1.0,0.0
CWE-190,0.5,0.5,0.5,0.5
CWE-200,0.0,1.0,0.0,1.0
CWE-276,1.0,0.0,1.0,0.0
CWE-295,1.0,0.0,1.0,0.0
CWE-354,1.0,1.0,0.0,0.0
CWE-362,1.0,0.0,1.0,0.0
CWE-369,0.333,0.0,1.0,0.667
CWE-401,0.5,0.5,0.5,0.5
CWE-415,1.0,0.0,1.0,0.0
CWE-416,0.0,1.0,0.0,1.0
CWE-476,0.692,0.538,0.462,0.308
CWE-617,0.5,0.667,0.333,0.5
CWE-703,0.833,0.167,0.833,0.167
CWE-754,0.0,1.0,0.0,1.0
CWE-787,0.5,0.25,0.75,0.5
CWE-843,0.667,0.0,1.0,0.333
CWE-862,0.0,1.0,0.0,1.0
CWE-908,0.0,1.0,0.0,1.0
CWE-909,1.0,1.0,0.0,0.0
