cwe,P-C,P-V,P-B,P-R
CWE-119,0.0,1.0,0.0,0.0
CWE-120,0.0,1.0,0.0,0.0
CWE-125,0.0,0.667,0.0,0.333
CWE-134,0.0,1.0,0.0,0.0
CWE-190,0.0,0.5,0.5,0.0
CWE-200,0.0,0.0,1.0,0.0
CWE-276,0.0,1.0,0.0,0.0
CWE-295,0.0,1.0,0.0,0.0
CWE-354,1.0,0.0,0.0,0.0
CWE-362,0.0,1.0,0.0,0.0
CWE-369,0.0,0.333,0.0,0.667
CWE-401,0.0,0.5,0.5,0.0
CWE-415,0.0,1.0,0.0,0.0
CWE-416,0.0,0.0,1.0,0.0
CWE-476,0.308,0.385,0.231,0.077
CWE-617,0.333,0.167,0.333,0.167
CWE-703,0.0,0.833,0.167,0.0
CWE-754,0.0,0.0,1.0,0.0
CWE-787,0.0,0.5,0.25,0.25
CWE-843,0.0,0.667,0.0,0.333
CWE-862,0.0,0.0,1.0,0.0
CWE-908,0.0,0.0,1.0,0.0
CWE-909,1.0,0.0,0.0,0.0
