idx1,idx2,true_vuln_1,pred_vuln_1,true_vuln_2,pred_vuln_2,outcome,cwe
194989,218785,1,0,0,0,P-B,['CWE-190']
194994,218852,1,0,0,0,P-B,['CWE-401']
194996,218933,1,1,0,1,P-V,['CWE-476']
194998,219032,1,0,0,1,P-R,['CWE-617']
195017,219912,1,1,0,0,P-C,['CWE-476']
195019,219931,1,1,0,1,P-V,['CWE-617']
195023,220021,1,1,0,1,P-V,['CWE-190']
195026,220100,1,1,0,0,P-C,['CWE-909']
195028,220168,1,1,0,1,P-V,['CWE-401']
195029,220201,1,0,0,1,P-R,['CWE-125']
195038,220442,1,1,0,1,P-V,['CWE-476']
195039,220449,1,1,0,0,P-C,['CWE-354']
195040,220463,1,1,0,1,P-V,['CWE-476']
195055,220804,1,1,0,1,P-V,['CWE-787']
195056,220841,1,0,0,1,P-R,['CWE-369']
195059,220909,1,0,0,0,P-B,['CWE-617']
195069,221079,1,1,0,1,P-V,['CWE-120']
195073,221123,1,0,0,0,P-B,['CWE-416']
195074,221160,1,1,0,1,P-V,['CWE-415']
195082,221413,1,0,0,0,P-B,['CWE-862']
195083,221428,1,1,0,0,P-C,['CWE-617']
195091,221631,1,0,0,0,P-B,['CWE-754']
195092,221651,1,1,0,1,P-V,['CWE-843']
195095,221678,1,1,0,1,P-V,['CWE-295']
195220,222666,1,1,0,1,P-V,['CWE-362']
195231,222739,1,1,0,1,P-V,['CWE-476']
195233,222906,1,0,0,0,P-B,['CWE-787']
195234,222925,1,0,0,0,P-B,['CWE-617']
195274,223728,1,0,0,0,P-B,['CWE-476']
195291,224153,1,0,0,0,P-B,['CWE-908']
195293,224154,1,1,0,0,P-C,['CWE-476']
195294,224181,1,1,0,1,P-V,['CWE-843']
195295,224192,1,1,0,1,P-V,['CWE-125']
195296,224208,1,0,0,1,P-R,['CWE-787']
195328,224472,1,1,0,1,P-V,['CWE-415']
195331,224570,1,0,0,1,P-R,['CWE-843']
195334,224728,1,1,0,1,P-V,['CWE-415']
195340,224862,1,0,0,0,P-B,['CWE-190']
195343,224891,1,1,0,1,P-V,['CWE-125']
195385,224964,1,1,0,1,P-V,['CWE-276']
195389,225086,1,1,0,0,P-C,['CWE-617']
195391,225125,1,1,0,1,P-V,['CWE-190']
195398,225383,1,1,0,1,P-V,['CWE-134']
195399,225473,1,0,0,0,P-B,['CWE-476']
195404,225563,1,0,0,1,P-R,['CWE-369']
195409,226029,1,1,0,0,P-C,['CWE-476']
195410,226433,1,1,0,0,P-C,['CWE-476']
195471,227022,1,1,0,1,P-V,['CWE-476']
195565,228563,1,1,0,1,P-V,['CWE-119']
195626,229165,1,1,0,1,P-V,['CWE-787']
195629,229337,1,0,0,0,P-B,['CWE-476']
195665,230302,1,1,0,1,P-V,['CWE-703']
195670,230394,1,1,0,1,P-V,['CWE-703']
195692,231048,1,0,0,0,P-B,['CWE-200']
195720,231710,1,0,0,0,P-B,['CWE-703']
195752,232405,1,0,0,1,P-R,['CWE-476']
195768,232839,1,1,0,1,P-V,['CWE-703']
195800,233862,1,1,0,1,P-V,['CWE-369']
195402,225547,1,0,0,0,P-B,['CWE-190']
195403,225552,1,1,0,1,P-V,['CWE-190']
195740,232289,1,1,0,1,P-V,['CWE-703']
195741,232287,1,1,0,1,P-V,['CWE-703']
