cwe,TruePositive,TrueNegative,FalsePositive,FalseNegative
CWE-119,4.0,0.0,1.0,0.0
CWE-125,1.0,0.0,1.0,0.0
CWE-190,4.0,0.0,1.0,0.0
CWE-20,5.0,0.0,0.0,0.0
CWE-22,6.0,0.0,2.0,0.0
CWE-269,5.0,0.0,0.0,0.0
CWE-287,1.0,0.0,0.0,0.0
CWE-306,1.0,0.0,1.0,0.0
CWE-352,3.0,0.0,0.0,0.0
CWE-362,2.0,0.0,1.0,0.0
CWE-416,2.0,0.0,0.0,0.0
CWE-434,2.0,0.0,2.0,0.0
CWE-476,4.0,0.0,0.0,0.0
CWE-502,2.0,1.0,0.0,0.0
CWE-77,3.0,1.0,1.0,1.0
CWE-78,7.0,0.0,0.0,0.0
CWE-787,7.0,0.0,0.0,0.0
CWE-79,8.0,0.0,0.0,0.0
CWE-798,8.0,0.0,0.0,0.0
CWE-862,2.0,0.0,0.0,0.0
CWE-863,1.0,0.0,0.0,0.0
CWE-89,4.0,0.0,1.0,0.0
CWE-94,3.0,1.0,0.0,0.0
