cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,0.8,0.8,1.0,0.889,0.5,0.9
CWE-125,0.5,0.5,1.0,0.667,0.5,0.9
CWE-190,0.8,0.8,1.0,0.889,0.375,0.88
CWE-20,1.0,1.0,1.0,1.0,0.0,0.84
CWE-22,0.75,0.75,1.0,0.857,0.5,0.9
CWE-269,1.0,1.0,1.0,1.0,0.0,0.9
CWE-287,1.0,1.0,1.0,1.0,0.0,0.9
CWE-306,0.5,0.5,1.0,0.667,0.5,0.9
CWE-352,1.0,1.0,1.0,1.0,0.0,0.9
CWE-362,0.667,0.667,1.0,0.8,0.75,0.833
CWE-416,1.0,1.0,1.0,1.0,0.0,0.9
CWE-434,0.5,0.5,1.0,0.667,0.25,0.875
CWE-476,1.0,1.0,1.0,1.0,0.0,0.9
CWE-502,1.0,1.0,1.0,1.0,1.0,0.933
CWE-77,0.667,0.75,0.75,0.75,0.812,0.9
CWE-78,1.0,1.0,1.0,1.0,0.0,0.9
CWE-787,1.0,1.0,1.0,1.0,0.0,0.9
CWE-79,1.0,1.0,1.0,1.0,0.0,0.9
CWE-798,1.0,1.0,1.0,1.0,0.0,0.9
CWE-862,1.0,1.0,1.0,1.0,0.0,0.85
CWE-863,1.0,1.0,1.0,1.0,0.0,0.9
CWE-89,0.8,0.8,1.0,0.889,0.5,0.9
CWE-94,1.0,1.0,1.0,1.0,1.0,0.875
