true_cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,0.846,0.538,0.462,0.154
CWE-125,0.462,0.513,0.487,0.538
CWE-190,0.444,0.778,0.222,0.556
CWE-20,0.455,0.273,0.727,0.545
CWE-22,0.167,0.2,0.8,0.833
CWE-269,0.5,0.25,0.75,0.5
CWE-276,0.5,0.0,1.0,0.5
CWE-362,0.625,0.5,0.5,0.375
CWE-416,0.684,0.526,0.474,0.316
CWE-434,0.0,1.0,0.0,0.0
CWE-476,0.5,0.588,0.412,0.5
CWE-787,0.526,0.579,0.421,0.474
CWE-79,0.5,1.0,0.0,0.5
CWE-862,1.0,1.0,0.0,0.0
CWE-863,0.0,0.0,1.0,1.0
CWE-94,0.0,0.0,1.0,1.0
