cwe,Metric,Score
CWE-119,Accuracy,0.5
CWE-120,Accuracy,0.5
CWE-125,Accuracy,0.3333333333333333
CWE-134,Accuracy,0.5
CWE-190,Accuracy,0.5
CWE-200,Accuracy,0.5
CWE-276,Accuracy,0.5
CWE-295,Accuracy,0.5
CWE-354,Accuracy,1.0
CWE-362,Accuracy,0.5
CWE-369,Accuracy,0.16666666666666666
CWE-401,Accuracy,0.5
CWE-415,Accuracy,0.5
CWE-416,Accuracy,0.5
CWE-476,Accuracy,0.6153846153846154
CWE-617,Accuracy,0.5833333333333334
CWE-703,Accuracy,0.5
CWE-754,Accuracy,0.5
CWE-787,Accuracy,0.375
CWE-843,Accuracy,0.3333333333333333
CWE-862,Accuracy,0.5
CWE-908,Accuracy,0.5
CWE-909,Accuracy,1.0
CWE-119,Precision,0.5
CWE-120,Precision,0.5
CWE-125,Precision,0.4
CWE-134,Precision,0.5
CWE-190,Precision,0.5
CWE-200,Precision,0.0
CWE-276,Precision,0.5
CWE-295,Precision,0.5
CWE-354,Precision,1.0
CWE-362,Precision,0.5
CWE-369,Precision,0.25
CWE-401,Precision,0.5
CWE-415,Precision,0.5
CWE-416,Precision,0.0
CWE-476,Precision,0.6
CWE-617,Precision,0.6
CWE-703,Precision,0.5
CWE-754,Precision,0.0
CWE-787,Precision,0.4
CWE-843,Precision,0.4
CWE-862,Precision,0.0
CWE-908,Precision,0.0
CWE-909,Precision,1.0
CWE-119,Recall,1.0
CWE-120,Recall,1.0
CWE-125,Recall,0.6666666666666666
CWE-134,Recall,1.0
CWE-190,Recall,0.5
CWE-200,Recall,0.0
CWE-276,Recall,1.0
CWE-295,Recall,1.0
CWE-354,Recall,1.0
CWE-362,Recall,1.0
CWE-369,Recall,0.3333333333333333
CWE-401,Recall,0.5
CWE-415,Recall,1.0
CWE-416,Recall,0.0
CWE-476,Recall,0.6923076923076923
CWE-617,Recall,0.5
CWE-703,Recall,0.8333333333333334
CWE-754,Recall,0.0
CWE-787,Recall,0.5
CWE-843,Recall,0.6666666666666666
CWE-862,Recall,0.0
CWE-908,Recall,0.0
CWE-909,Recall,1.0
CWE-119,F1 Score,0.6666666666666666
CWE-120,F1 Score,0.6666666666666666
CWE-125,F1 Score,0.5
CWE-134,F1 Score,0.6666666666666666
CWE-190,F1 Score,0.5
CWE-200,F1 Score,0.0
CWE-276,F1 Score,0.6666666666666666
CWE-295,F1 Score,0.6666666666666666
CWE-354,F1 Score,1.0
CWE-362,F1 Score,0.6666666666666666
CWE-369,F1 Score,0.2857142857142857
CWE-401,F1 Score,0.5
CWE-415,F1 Score,0.6666666666666666
CWE-416,F1 Score,0.0
CWE-476,F1 Score,0.6428571428571429
CWE-617,F1 Score,0.5454545454545454
CWE-703,F1 Score,0.625
CWE-754,F1 Score,0.0
CWE-787,F1 Score,0.4444444444444444
CWE-843,F1 Score,0.5
CWE-862,F1 Score,0.0
CWE-908,F1 Score,0.0
CWE-909,F1 Score,1.0
CWE-119,AUC,0.0
CWE-120,AUC,1.0
CWE-125,AUC,0.38888888888888895
CWE-134,AUC,0.5
CWE-190,AUC,0.4444444444444444
CWE-200,AUC,0.0
CWE-276,AUC,0.5
CWE-295,AUC,0.0
CWE-354,AUC,1.0
CWE-362,AUC,0.5
CWE-369,AUC,0.05555555555555556
CWE-401,AUC,0.5
CWE-415,AUC,0.5
CWE-416,AUC,0.5
CWE-476,AUC,0.5769230769230769
CWE-617,AUC,0.4861111111111111
CWE-703,AUC,0.5
CWE-754,AUC,0.5
CWE-787,AUC,0.4375
CWE-843,AUC,0.22222222222222224
CWE-862,AUC,0.5
CWE-908,AUC,0.0
CWE-909,AUC,1.0
CWE-119,Avg Confidence,0.8500000000000001
CWE-120,Avg Confidence,0.8500000000000001
CWE-125,Avg Confidence,0.8333333333333334
CWE-134,Avg Confidence,0.8
CWE-190,Avg Confidence,0.8500000000000001
CWE-200,Avg Confidence,0.8500000000000001
CWE-276,Avg Confidence,0.9
CWE-295,Avg Confidence,0.8500000000000001
CWE-354,Avg Confidence,0.9
CWE-362,Avg Confidence,0.9
CWE-369,Avg Confidence,0.85
CWE-401,Avg Confidence,0.8
CWE-415,Avg Confidence,0.9
CWE-416,Avg Confidence,0.8
CWE-476,Avg Confidence,0.8615384615384615
CWE-617,Avg Confidence,0.8583333333333335
CWE-703,Avg Confidence,0.8666666666666668
CWE-754,Avg Confidence,0.9
CWE-787,Avg Confidence,0.8500000000000001
CWE-843,Avg Confidence,0.8333333333333335
CWE-862,Avg Confidence,0.9
CWE-908,Avg Confidence,0.8500000000000001
CWE-909,Avg Confidence,0.8
