cwe,Metric,Count
CWE-119,TP,4.0
CWE-125,TP,1.0
CWE-190,TP,4.0
CWE-20,TP,5.0
CWE-22,TP,6.0
CWE-269,TP,5.0
CWE-287,TP,1.0
CWE-306,TP,1.0
CWE-352,TP,3.0
CWE-362,TP,2.0
CWE-416,TP,2.0
CWE-434,TP,2.0
CWE-476,TP,4.0
CWE-502,TP,2.0
CWE-77,TP,3.0
CWE-78,TP,7.0
CWE-787,TP,7.0
CWE-79,TP,8.0
CWE-798,TP,8.0
CWE-862,TP,2.0
CWE-863,TP,1.0
CWE-89,TP,4.0
CWE-94,TP,3.0
CWE-119,TN,0.0
CWE-125,TN,0.0
CWE-190,TN,0.0
CWE-20,TN,0.0
CWE-22,TN,0.0
CWE-269,TN,0.0
CWE-287,TN,0.0
CWE-306,TN,0.0
CWE-352,TN,0.0
CWE-362,TN,0.0
CWE-416,TN,0.0
CWE-434,TN,0.0
CWE-476,TN,0.0
CWE-502,TN,1.0
CWE-77,TN,1.0
CWE-78,TN,0.0
CWE-787,TN,0.0
CWE-79,TN,0.0
CWE-798,TN,0.0
CWE-862,TN,0.0
CWE-863,TN,0.0
CWE-89,TN,0.0
CWE-94,TN,1.0
CWE-119,FP,1.0
CWE-125,FP,1.0
CWE-190,FP,1.0
CWE-20,FP,0.0
CWE-22,FP,2.0
CWE-269,FP,0.0
CWE-287,FP,0.0
CWE-306,FP,1.0
CWE-352,FP,0.0
CWE-362,FP,1.0
CWE-416,FP,0.0
CWE-434,FP,2.0
CWE-476,FP,0.0
CWE-502,FP,0.0
CWE-77,FP,1.0
CWE-78,FP,0.0
CWE-787,FP,0.0
CWE-79,FP,0.0
CWE-798,FP,0.0
CWE-862,FP,0.0
CWE-863,FP,0.0
CWE-89,FP,1.0
CWE-94,FP,0.0
CWE-119,FN,0.0
CWE-125,FN,0.0
CWE-190,FN,0.0
CWE-20,FN,0.0
CWE-22,FN,0.0
CWE-269,FN,0.0
CWE-287,FN,0.0
CWE-306,FN,0.0
CWE-352,FN,0.0
CWE-362,FN,0.0
CWE-416,FN,0.0
CWE-434,FN,0.0
CWE-476,FN,0.0
CWE-502,FN,0.0
CWE-77,FN,1.0
CWE-78,FN,0.0
CWE-787,FN,0.0
CWE-79,FN,0.0
CWE-798,FN,0.0
CWE-862,FN,0.0
CWE-863,FN,0.0
CWE-89,FN,0.0
CWE-94,FN,0.0
