cwe,Metric,Rate
CWE-119,True Positive Rate,1.0
CWE-125,True Positive Rate,1.0
CWE-190,True Positive Rate,1.0
CWE-20,True Positive Rate,1.0
CWE-22,True Positive Rate,1.0
CWE-269,True Positive Rate,1.0
CWE-287,True Positive Rate,1.0
CWE-306,True Positive Rate,1.0
CWE-352,True Positive Rate,1.0
CWE-362,True Positive Rate,1.0
CWE-416,True Positive Rate,1.0
CWE-434,True Positive Rate,1.0
CWE-476,True Positive Rate,1.0
CWE-502,True Positive Rate,1.0
CWE-77,True Positive Rate,0.75
CWE-78,True Positive Rate,1.0
CWE-787,True Positive Rate,1.0
CWE-79,True Positive Rate,1.0
CWE-798,True Positive Rate,1.0
CWE-862,True Positive Rate,1.0
CWE-863,True Positive Rate,1.0
CWE-89,True Positive Rate,1.0
CWE-94,True Positive Rate,1.0
CWE-119,True Negative Rate,0.0
CWE-125,True Negative Rate,0.0
CWE-190,True Negative Rate,0.0
CWE-20,True Negative Rate,0.0
CWE-22,True Negative Rate,0.0
CWE-269,True Negative Rate,0.0
CWE-287,True Negative Rate,0.0
CWE-306,True Negative Rate,0.0
CWE-352,True Negative Rate,0.0
CWE-362,True Negative Rate,0.0
CWE-416,True Negative Rate,0.0
CWE-434,True Negative Rate,0.0
CWE-476,True Negative Rate,0.0
CWE-502,True Negative Rate,1.0
CWE-77,True Negative Rate,0.5
CWE-78,True Negative Rate,0.0
CWE-787,True Negative Rate,0.0
CWE-79,True Negative Rate,0.0
CWE-798,True Negative Rate,0.0
CWE-862,True Negative Rate,0.0
CWE-863,True Negative Rate,0.0
CWE-89,True Negative Rate,0.0
CWE-94,True Negative Rate,1.0
CWE-119,False Positive Rate,1.0
CWE-125,False Positive Rate,1.0
CWE-190,False Positive Rate,1.0
CWE-20,False Positive Rate,0.0
CWE-22,False Positive Rate,1.0
CWE-269,False Positive Rate,0.0
CWE-287,False Positive Rate,0.0
CWE-306,False Positive Rate,1.0
CWE-352,False Positive Rate,0.0
CWE-362,False Positive Rate,1.0
CWE-416,False Positive Rate,0.0
CWE-434,False Positive Rate,1.0
CWE-476,False Positive Rate,0.0
CWE-502,False Positive Rate,0.0
CWE-77,False Positive Rate,0.5
CWE-78,False Positive Rate,0.0
CWE-787,False Positive Rate,0.0
CWE-79,False Positive Rate,0.0
CWE-798,False Positive Rate,0.0
CWE-862,False Positive Rate,0.0
CWE-863,False Positive Rate,0.0
CWE-89,False Positive Rate,1.0
CWE-94,False Positive Rate,0.0
CWE-119,False Negative Rate,0.0
CWE-125,False Negative Rate,0.0
CWE-190,False Negative Rate,0.0
CWE-20,False Negative Rate,0.0
CWE-22,False Negative Rate,0.0
CWE-269,False Negative Rate,0.0
CWE-287,False Negative Rate,0.0
CWE-306,False Negative Rate,0.0
CWE-352,False Negative Rate,0.0
CWE-362,False Negative Rate,0.0
CWE-416,False Negative Rate,0.0
CWE-434,False Negative Rate,0.0
CWE-476,False Negative Rate,0.0
CWE-502,False Negative Rate,0.0
CWE-77,False Negative Rate,0.25
CWE-78,False Negative Rate,0.0
CWE-787,False Negative Rate,0.0
CWE-79,False Negative Rate,0.0
CWE-798,False Negative Rate,0.0
CWE-862,False Negative Rate,0.0
CWE-863,False Negative Rate,0.0
CWE-89,False Negative Rate,0.0
CWE-94,False Negative Rate,0.0
