true_cwe,P-C,P-V,P-B,P-R
CWE-119,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693
CWE-125,0.1794871794871795,0.28205128205128205,0.3333333333333333,0.20512820512820512
CWE-190,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.1111111111111111
CWE-20,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.36363636363636365
CWE-22,0.16666666666666666,0.0,0.0,0.8333333333333334
CWE-269,0.0,0.5,0.25,0.25
CWE-276,0.0,0.5,0.0,0.5
CWE-362,0.25,0.375,0.25,0.125
CWE-416,0.3684210526315789,0.3157894736842105,0.15789473684210525,0.15789473684210525
CWE-476,0.2647058823529412,0.23529411764705882,0.3235294117647059,0.17647058823529413
CWE-787,0.3508771929824561,0.17543859649122806,0.22807017543859648,0.24561403508771928
CWE-79,0.5,0.0,0.5,0.0
CWE-862,1.0,0.0,0.0,0.0
CWE-863,0.0,0.0,0.0,1.0
CWE-94,0.0,0.0,0.0,1.0
