idx1,idx2,true_vuln_1,pred_vuln_1,true_vuln_2,pred_vuln_2,outcome,cwe
194989,218785,1,0,0,0,P-B,['CWE-190']
194996,218933,1,1,0,1,P-V,['CWE-476']
195017,219912,1,1,0,0,P-C,['CWE-476']
195023,220021,1,1,0,1,P-V,['CWE-190']
195029,220201,1,0,0,1,P-R,['CWE-125']
195038,220442,1,1,0,1,P-V,['CWE-476']
195040,220463,1,1,0,1,P-V,['CWE-476']
195055,220804,1,1,0,1,P-V,['CWE-787']
195073,221123,1,0,0,0,P-B,['CWE-416']
195082,221413,1,0,0,0,P-B,['CWE-862']
195220,222666,1,1,0,1,P-V,['CWE-362']
195231,222739,1,1,0,1,P-V,['CWE-476']
195233,222906,1,0,0,0,P-B,['CWE-787']
195274,223728,1,0,0,0,P-B,['CWE-476']
195293,224154,1,1,0,0,P-C,['CWE-476']
195295,224192,1,1,0,1,P-V,['CWE-125']
195296,224208,1,0,0,1,P-R,['CWE-787']
195340,224862,1,0,0,0,P-B,['CWE-190']
195343,224891,1,1,0,1,P-V,['CWE-125']
195385,224964,1,1,0,1,P-V,['CWE-276']
195391,225125,1,1,0,1,P-V,['CWE-190']
195399,225473,1,0,0,0,P-B,['CWE-476']
195409,226029,1,1,0,0,P-C,['CWE-476']
195410,226433,1,1,0,0,P-C,['CWE-476']
195471,227022,1,1,0,1,P-V,['CWE-476']
195565,228563,1,1,0,1,P-V,['CWE-119']
195626,229165,1,1,0,1,P-V,['CWE-787']
195629,229337,1,0,0,0,P-B,['CWE-476']
195752,232405,1,0,0,1,P-R,['CWE-476']
195402,225547,1,0,0,0,P-B,['CWE-190']
195403,225552,1,1,0,1,P-V,['CWE-190']
