cwe,Metric,Rate
CWE-119,True Positive Rate,0.65
CWE-20,True Positive Rate,0.375
CWE-269,True Positive Rate,0.0
CWE-287,True Positive Rate,1.0
CWE-362,True Positive Rate,0.23076923076923078
CWE-787,True Positive Rate,0.7272727272727273
CWE-94,True Positive Rate,0.6666666666666666
CWE-119,True Negative Rate,0.0
CWE-20,True Negative Rate,0.0
CWE-269,True Negative Rate,0.0
CWE-287,True Negative Rate,0.0
CWE-362,True Negative Rate,0.0
CWE-787,True Negative Rate,0.0
CWE-94,True Negative Rate,0.0
CWE-119,False Positive Rate,0.0
CWE-20,False Positive Rate,0.0
CWE-269,False Positive Rate,0.0
CWE-287,False Positive Rate,0.0
CWE-362,False Positive Rate,0.0
CWE-787,False Positive Rate,0.0
CWE-94,False Positive Rate,0.0
CWE-119,False Negative Rate,0.35
CWE-20,False Negative Rate,0.625
CWE-269,False Negative Rate,1.0
CWE-287,False Negative Rate,0.0
CWE-362,False Negative Rate,0.7692307692307693
CWE-787,False Negative Rate,0.2727272727272727
CWE-94,False Negative Rate,0.3333333333333333
