true_cwe,Metric,Rate
CWE-119,True Positive Rate,0.8461538461538461
CWE-125,True Positive Rate,0.46153846153846156
CWE-190,True Positive Rate,0.4444444444444444
CWE-20,True Positive Rate,0.45454545454545453
CWE-22,True Positive Rate,0.16666666666666666
CWE-269,True Positive Rate,0.5
CWE-276,True Positive Rate,0.5
CWE-362,True Positive Rate,0.625
CWE-416,True Positive Rate,0.6842105263157895
CWE-434,True Positive Rate,0.0
CWE-476,True Positive Rate,0.5
CWE-787,True Positive Rate,0.5263157894736842
CWE-79,True Positive Rate,0.5
CWE-862,True Positive Rate,1.0
CWE-863,True Positive Rate,0.0
CWE-94,True Positive Rate,0.0
CWE-119,True Negative Rate,0.5384615384615384
CWE-125,True Negative Rate,0.5128205128205128
CWE-190,True Negative Rate,0.7777777777777778
CWE-20,True Negative Rate,0.2727272727272727
CWE-22,True Negative Rate,0.2
CWE-269,True Negative Rate,0.25
CWE-276,True Negative Rate,0.0
CWE-362,True Negative Rate,0.5
CWE-416,True Negative Rate,0.5263157894736842
CWE-434,True Negative Rate,1.0
CWE-476,True Negative Rate,0.5882352941176471
CWE-787,True Negative Rate,0.5789473684210527
CWE-79,True Negative Rate,1.0
CWE-862,True Negative Rate,1.0
CWE-863,True Negative Rate,0.0
CWE-94,True Negative Rate,0.0
CWE-119,False Positive Rate,0.46153846153846156
CWE-125,False Positive Rate,0.48717948717948717
CWE-190,False Positive Rate,0.2222222222222222
CWE-20,False Positive Rate,0.7272727272727273
CWE-22,False Positive Rate,0.8
CWE-269,False Positive Rate,0.75
CWE-276,False Positive Rate,1.0
CWE-362,False Positive Rate,0.5
CWE-416,False Positive Rate,0.47368421052631576
CWE-434,False Positive Rate,0.0
CWE-476,False Positive Rate,0.4117647058823529
CWE-787,False Positive Rate,0.42105263157894735
CWE-79,False Positive Rate,0.0
CWE-862,False Positive Rate,0.0
CWE-863,False Positive Rate,1.0
CWE-94,False Positive Rate,1.0
CWE-119,False Negative Rate,0.15384615384615385
CWE-125,False Negative Rate,0.5384615384615384
CWE-190,False Negative Rate,0.5555555555555556
CWE-20,False Negative Rate,0.5454545454545454
CWE-22,False Negative Rate,0.8333333333333334
CWE-269,False Negative Rate,0.5
CWE-276,False Negative Rate,0.5
CWE-362,False Negative Rate,0.375
CWE-416,False Negative Rate,0.3157894736842105
CWE-434,False Negative Rate,0.0
CWE-476,False Negative Rate,0.5
CWE-787,False Negative Rate,0.47368421052631576
CWE-79,False Negative Rate,0.5
CWE-862,False Negative Rate,0.0
CWE-863,False Negative Rate,1.0
CWE-94,False Negative Rate,1.0
