true_cwe,P-C,P-V,P-B,P-R
CWE-119,0.15384615384615385,0.38461538461538464,0.38461538461538464,0.07692307692307693
CWE-125,0.3333333333333333,0.15384615384615385,0.23076923076923078,0.28205128205128205
CWE-190,0.0,0.2222222222222222,0.4444444444444444,0.3333333333333333
CWE-20,0.1,0.3,0.3,0.3
CWE-22,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333
CWE-269,0.75,0.25,0.0,0.0
CWE-276,0.5,0.0,0.0,0.5
CWE-362,0.25,0.5,0.25,0.0
CWE-416,0.10526315789473684,0.15789473684210525,0.47368421052631576,0.2631578947368421
CWE-476,0.35294117647058826,0.14705882352941177,0.2647058823529412,0.23529411764705882
CWE-787,0.2807017543859649,0.3333333333333333,0.21052631578947367,0.17543859649122806
CWE-79,0.0,0.0,1.0,0.0
CWE-862,0.0,1.0,0.0,0.0
CWE-863,0.0,0.0,0.0,1.0
CWE-94,0.0,0.0,1.0,0.0
