cwe,Metric,Rate
CWE-119,True Positive Rate,1.0
CWE-121,True Positive Rate,1.0
CWE-122,True Positive Rate,1.0
CWE-190,True Positive Rate,1.0
CWE-362,True Positive Rate,0.8
CWE-401,True Positive Rate,1.0
CWE-415,True Positive Rate,1.0
CWE-416,True Positive Rate,1.0
CWE-77,True Positive Rate,1.0
CWE-119,True Negative Rate,0.0
CWE-121,True Negative Rate,0.0
CWE-122,True Negative Rate,0.0
CWE-190,True Negative Rate,0.0
CWE-362,True Negative Rate,0.0
CWE-401,True Negative Rate,0.0
CWE-415,True Negative Rate,0.0
CWE-416,True Negative Rate,0.0
CWE-77,True Negative Rate,0.0
CWE-119,False Positive Rate,0.0
CWE-121,False Positive Rate,0.0
CWE-122,False Positive Rate,0.0
CWE-190,False Positive Rate,0.0
CWE-362,False Positive Rate,0.0
CWE-401,False Positive Rate,0.0
CWE-415,False Positive Rate,0.0
CWE-416,False Positive Rate,0.0
CWE-77,False Positive Rate,0.0
CWE-119,False Negative Rate,0.0
CWE-121,False Negative Rate,0.0
CWE-122,False Negative Rate,0.0
CWE-190,False Negative Rate,0.0
CWE-362,False Negative Rate,0.2
CWE-401,False Negative Rate,0.0
CWE-415,False Negative Rate,0.0
CWE-416,False Negative Rate,0.0
CWE-77,False Negative Rate,0.0
