cwe,Metric,Score
CWE-119,Accuracy,0.5
CWE-125,Accuracy,0.45
CWE-190,Accuracy,0.75
CWE-20,Accuracy,0.5
CWE-269,Accuracy,0.5
CWE-276,Accuracy,0.5
CWE-362,Accuracy,0.75
CWE-416,Accuracy,0.42857142857142855
CWE-476,Accuracy,0.3888888888888889
CWE-787,Accuracy,0.5769230769230769
CWE-862,Accuracy,0.5
CWE-119,Precision,0.5
CWE-125,Precision,0.3333333333333333
CWE-190,Precision,1.0
CWE-20,Precision,0.0
CWE-269,Precision,0.5
CWE-276,Precision,0.5
CWE-362,Precision,0.6666666666666666
CWE-416,Precision,0.42857142857142855
CWE-476,Precision,0.4090909090909091
CWE-787,Precision,0.55
CWE-862,Precision,0.0
CWE-119,Recall,1.0
CWE-125,Recall,0.1
CWE-190,Recall,0.5
CWE-20,Recall,0.0
CWE-269,Recall,1.0
CWE-276,Recall,1.0
CWE-362,Recall,1.0
CWE-416,Recall,0.42857142857142855
CWE-476,Recall,0.5
CWE-787,Recall,0.8461538461538461
CWE-862,Recall,0.0
CWE-119,F1 Score,0.6666666666666666
CWE-125,F1 Score,0.15384615384615385
CWE-190,F1 Score,0.6666666666666666
CWE-20,F1 Score,0.0
CWE-269,F1 Score,0.6666666666666666
CWE-276,F1 Score,0.6666666666666666
CWE-362,F1 Score,0.8
CWE-416,F1 Score,0.42857142857142855
CWE-476,F1 Score,0.45
CWE-787,F1 Score,0.6666666666666666
CWE-862,F1 Score,0.0
CWE-119,AUC,1.0
CWE-125,AUC,0.485
CWE-190,AUC,0.625
CWE-20,AUC,0.5
CWE-269,AUC,0.5
CWE-276,AUC,0.25
CWE-362,AUC,0.625
CWE-416,AUC,0.3163265306122449
CWE-476,AUC,0.3919753086419753
CWE-787,AUC,0.5828402366863905
CWE-862,AUC,1.0
CWE-119,Avg Confidence,0.8500000000000001
CWE-125,Avg Confidence,0.85
CWE-190,Avg Confidence,0.8666666666666668
CWE-20,Avg Confidence,0.8
CWE-269,Avg Confidence,0.9
CWE-276,Avg Confidence,0.875
CWE-362,Avg Confidence,0.8500000000000001
CWE-416,Avg Confidence,0.8428571428571431
CWE-476,Avg Confidence,0.8472222222222223
CWE-787,Avg Confidence,0.8769230769230768
CWE-862,Avg Confidence,0.8500000000000001
