run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
0,minh_httpd_862dd4e3e7a3391afd6fe392e4ab568d73b9c873,0,1,1,9,"['Unknown CWE']"
1,minh_httpd_862dd4e3e7a3391afd6fe392e4ab568d73b9c873,0,0,1,9,"['Unknown CWE']"
2,minh_libpng_2414bd99d8c76f92ca9272f1b1b1eff55709298a,1,1,0,8,"['Unknown CWE']"
3,minh_libpng_2414bd99d8c76f92ca9272f1b1b1eff55709298a,1,0,0,9,"['Unknown CWE']"
4,minh_libpng_2414bd99d8c76f92ca9272f1b1b1eff55709298a,2,1,1,8,"['Unknown CWE']"
5,minh_libpng_2414bd99d8c76f92ca9272f1b1b1eff55709298a,2,0,1,8,"['Unknown CWE']"
6,minh_libpng_2414bd99d8c76f92ca9272f1b1b1eff55709298a,3,1,1,9,"['Unknown CWE']"
7,minh_libpng_2414bd99d8c76f92ca9272f1b1b1eff55709298a,3,0,0,8,"['Unknown CWE']"
8,minh_linux_51454ea42c1ab4e0c2828bb0d4d53957976980de,4,1,1,8,"['Unknown CWE']"
9,minh_linux_51454ea42c1ab4e0c2828bb0d4d53957976980de,4,0,1,9,"['Unknown CWE']"
10,minh_linux_51454ea42c1ab4e0c2828bb0d4d53957976980de,5,1,1,8,"['Unknown CWE']"
11,minh_linux_51454ea42c1ab4e0c2828bb0d4d53957976980de,5,0,1,8,"['Unknown CWE']"
12,minh_linux_f064a0de1579fabded8990bed93971e30deb9ecb,6,1,1,9,"['Unknown CWE']"
13,minh_linux_f064a0de1579fabded8990bed93971e30deb9ecb,6,0,1,8,"['Unknown CWE']"
14,minh_openssl_9d2996b82fa59f478251c9fec85c5e2df2a43958,7,1,1,9,"['Unknown CWE']"
15,minh_openssl_9d2996b82fa59f478251c9fec85c5e2df2a43958,7,0,1,9,"['Unknown CWE']"
16,minh_openssl_0d5ac5a738094fb171f01d20375a832e797dab2e,8,1,1,8,"['Unknown CWE']"
17,minh_openssl_0d5ac5a738094fb171f01d20375a832e797dab2e,8,0,1,9,"['Unknown CWE']"
18,minh_openssl_d4d89a076262aa118c07a4766daf17202aef17f0,9,1,1,9,"['Unknown CWE']"
19,minh_openssl_d4d89a076262aa118c07a4766daf17202aef17f0,9,0,1,9,"['Unknown CWE']"
20,minh_openssl_d4d89a076262aa118c07a4766daf17202aef17f0,10,1,1,9,"['Unknown CWE']"
21,minh_openssl_d4d89a076262aa118c07a4766daf17202aef17f0,10,0,1,9,"['Unknown CWE']"
22,minh_qemu_1010cadf62332017648abee0d7a3dc7f2eef9632,11,1,0,9,"['Unknown CWE']"
23,minh_qemu_1010cadf62332017648abee0d7a3dc7f2eef9632,11,0,0,8,"['Unknown CWE']"
24,minh_wireshark_45143c6eac61f2d9ffe67bc9624eee2547d3aeb4,12,1,1,9,"['Unknown CWE']"
25,minh_wireshark_45143c6eac61f2d9ffe67bc9624eee2547d3aeb4,12,0,1,9,"['Unknown CWE']"
