cwe,Metric,Count
CWE-119,TP,1.0
CWE-125,TP,1.0
CWE-190,TP,3.0
CWE-20,TP,0.0
CWE-269,TP,1.0
CWE-276,TP,2.0
CWE-362,TP,2.0
CWE-416,TP,3.0
CWE-476,TP,9.0
CWE-787,TP,11.0
CWE-862,TP,0.0
CWE-119,TN,0.0
CWE-125,TN,8.0
CWE-190,TN,6.0
CWE-20,TN,2.0
CWE-269,TN,0.0
CWE-276,TN,0.0
CWE-362,TN,1.0
CWE-416,TN,3.0
CWE-476,TN,5.0
CWE-787,TN,4.0
CWE-862,TN,1.0
CWE-119,FP,1.0
CWE-125,FP,2.0
CWE-190,FP,0.0
CWE-20,FP,0.0
CWE-269,FP,1.0
CWE-276,FP,2.0
CWE-362,FP,1.0
CWE-416,FP,4.0
CWE-476,FP,13.0
CWE-787,FP,9.0
CWE-862,FP,0.0
CWE-119,FN,0.0
CWE-125,FN,9.0
CWE-190,FN,3.0
CWE-20,FN,2.0
CWE-269,FN,0.0
CWE-276,FN,0.0
CWE-362,FN,0.0
CWE-416,FN,4.0
CWE-476,FN,9.0
CWE-787,FN,2.0
CWE-862,FN,1.0
