cwe,Metric,Rate
CWE-119,True Positive Rate,0.5
CWE-120,True Positive Rate,0.5
CWE-125,True Positive Rate,0.3333333333333333
CWE-134,True Positive Rate,0.5
CWE-190,True Positive Rate,0.25
CWE-200,True Positive Rate,0.0
CWE-276,True Positive Rate,0.5
CWE-295,True Positive Rate,0.5
CWE-354,True Positive Rate,0.5
CWE-362,True Positive Rate,0.5
CWE-369,True Positive Rate,0.16666666666666666
CWE-401,True Positive Rate,0.25
CWE-415,True Positive Rate,0.5
CWE-416,True Positive Rate,0.0
CWE-476,True Positive Rate,0.34615384615384615
CWE-617,True Positive Rate,0.25
CWE-703,True Positive Rate,0.4166666666666667
CWE-754,True Positive Rate,0.0
CWE-787,True Positive Rate,0.25
CWE-843,True Positive Rate,0.3333333333333333
CWE-862,True Positive Rate,0.0
CWE-908,True Positive Rate,0.0
CWE-909,True Positive Rate,0.5
CWE-119,True Negative Rate,0.0
CWE-120,True Negative Rate,0.0
CWE-125,True Negative Rate,0.0
CWE-134,True Negative Rate,0.0
CWE-190,True Negative Rate,0.25
CWE-200,True Negative Rate,0.5
CWE-276,True Negative Rate,0.0
CWE-295,True Negative Rate,0.0
CWE-354,True Negative Rate,0.5
CWE-362,True Negative Rate,0.0
CWE-369,True Negative Rate,0.0
CWE-401,True Negative Rate,0.25
CWE-415,True Negative Rate,0.0
CWE-416,True Negative Rate,0.5
CWE-476,True Negative Rate,0.2692307692307692
CWE-617,True Negative Rate,0.3333333333333333
CWE-703,True Negative Rate,0.08333333333333333
CWE-754,True Negative Rate,0.5
CWE-787,True Negative Rate,0.125
CWE-843,True Negative Rate,0.0
CWE-862,True Negative Rate,0.5
CWE-908,True Negative Rate,0.5
CWE-909,True Negative Rate,0.5
CWE-119,False Positive Rate,0.5
CWE-120,False Positive Rate,0.5
CWE-125,False Positive Rate,0.5
CWE-134,False Positive Rate,0.5
CWE-190,False Positive Rate,0.25
CWE-200,False Positive Rate,0.0
CWE-276,False Positive Rate,0.5
CWE-295,False Positive Rate,0.5
CWE-354,False Positive Rate,0.0
CWE-362,False Positive Rate,0.5
CWE-369,False Positive Rate,0.5
CWE-401,False Positive Rate,0.25
CWE-415,False Positive Rate,0.5
CWE-416,False Positive Rate,0.0
CWE-476,False Positive Rate,0.23076923076923078
CWE-617,False Positive Rate,0.16666666666666666
CWE-703,False Positive Rate,0.4166666666666667
CWE-754,False Positive Rate,0.0
CWE-787,False Positive Rate,0.375
CWE-843,False Positive Rate,0.5
CWE-862,False Positive Rate,0.0
CWE-908,False Positive Rate,0.0
CWE-909,False Positive Rate,0.0
CWE-119,False Negative Rate,0.0
CWE-120,False Negative Rate,0.0
CWE-125,False Negative Rate,0.16666666666666666
CWE-134,False Negative Rate,0.0
CWE-190,False Negative Rate,0.25
CWE-200,False Negative Rate,0.5
CWE-276,False Negative Rate,0.0
CWE-295,False Negative Rate,0.0
CWE-354,False Negative Rate,0.0
CWE-362,False Negative Rate,0.0
CWE-369,False Negative Rate,0.3333333333333333
CWE-401,False Negative Rate,0.25
CWE-415,False Negative Rate,0.0
CWE-416,False Negative Rate,0.5
CWE-476,False Negative Rate,0.15384615384615385
CWE-617,False Negative Rate,0.25
CWE-703,False Negative Rate,0.08333333333333333
CWE-754,False Negative Rate,0.5
CWE-787,False Negative Rate,0.25
CWE-843,False Negative Rate,0.16666666666666666
CWE-862,False Negative Rate,0.5
CWE-908,False Negative Rate,0.5
CWE-909,False Negative Rate,0.0
