cwe,Metric,Count
CWE-119,TP,15.0
CWE-121,TP,16.0
CWE-122,TP,15.0
CWE-190,TP,15.0
CWE-362,TP,12.0
CWE-401,TP,15.0
CWE-415,TP,15.0
CWE-416,TP,15.0
CWE-77,TP,15.0
CWE-119,TN,0.0
CWE-121,TN,0.0
CWE-122,TN,0.0
CWE-190,TN,0.0
CWE-362,TN,0.0
CWE-401,TN,0.0
CWE-415,TN,0.0
CWE-416,TN,0.0
CWE-77,TN,0.0
CWE-119,FP,0.0
CWE-121,FP,0.0
CWE-122,FP,0.0
CWE-190,FP,0.0
CWE-362,FP,0.0
CWE-401,FP,0.0
CWE-415,FP,0.0
CWE-416,FP,0.0
CWE-77,FP,0.0
CWE-119,FN,0.0
CWE-121,FN,0.0
CWE-122,FN,0.0
CWE-190,FN,0.0
CWE-362,FN,3.0
CWE-401,FN,0.0
CWE-415,FN,0.0
CWE-416,FN,0.0
CWE-77,FN,0.0
