cwe,P-C,P-V,P-B,P-R
CWE-119,0.0,1.0,0.0,0.0
CWE-120,0.0,1.0,0.0,0.0
CWE-125,0.0,0.6666666666666666,0.0,0.3333333333333333
CWE-134,0.0,1.0,0.0,0.0
CWE-190,0.0,0.5,0.5,0.0
CWE-200,0.0,0.0,1.0,0.0
CWE-276,0.0,1.0,0.0,0.0
CWE-295,0.0,1.0,0.0,0.0
CWE-354,1.0,0.0,0.0,0.0
CWE-362,0.0,1.0,0.0,0.0
CWE-369,0.0,0.3333333333333333,0.0,0.6666666666666666
CWE-401,0.0,0.5,0.5,0.0
CWE-415,0.0,1.0,0.0,0.0
CWE-416,0.0,0.0,1.0,0.0
CWE-476,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.07692307692307693
CWE-617,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
CWE-703,0.0,0.8333333333333334,0.16666666666666666,0.0
CWE-754,0.0,0.0,1.0,0.0
CWE-787,0.0,0.5,0.25,0.25
CWE-843,0.0,0.6666666666666666,0.0,0.3333333333333333
CWE-862,0.0,0.0,1.0,0.0
CWE-908,0.0,0.0,1.0,0.0
CWE-909,1.0,0.0,0.0,0.0
