cwe,Metric,Score
CWE-119,Accuracy,0.65
CWE-20,Accuracy,0.375
CWE-269,Accuracy,0.0
CWE-287,Accuracy,1.0
CWE-362,Accuracy,0.23076923076923078
CWE-787,Accuracy,0.7272727272727273
CWE-94,Accuracy,0.6666666666666666
CWE-119,Precision,1.0
CWE-20,Precision,1.0
CWE-269,Precision,0.0
CWE-287,Precision,1.0
CWE-362,Precision,1.0
CWE-787,Precision,1.0
CWE-94,Precision,1.0
CWE-119,Recall,0.65
CWE-20,Recall,0.375
CWE-269,Recall,0.0
CWE-287,Recall,1.0
CWE-362,Recall,0.23076923076923078
CWE-787,Recall,0.7272727272727273
CWE-94,Recall,0.6666666666666666
CWE-119,F1 Score,0.7878787878787878
CWE-20,F1 Score,0.5454545454545454
CWE-269,F1 Score,0.0
CWE-287,F1 Score,1.0
CWE-362,F1 Score,0.375
CWE-787,F1 Score,0.8421052631578947
CWE-94,F1 Score,0.8
CWE-119,AUC,
CWE-20,AUC,
CWE-269,AUC,
CWE-287,AUC,
CWE-362,AUC,
CWE-787,AUC,
CWE-94,AUC,
CWE-119,Avg Confidence,0.8550000000000001
CWE-20,Avg Confidence,0.8437500000000001
CWE-269,Avg Confidence,0.9
CWE-287,Avg Confidence,0.8500000000000001
CWE-362,Avg Confidence,0.8769230769230769
CWE-787,Avg Confidence,0.8272727272727274
CWE-94,Avg Confidence,0.8333333333333334
