cwe,Metric,Count
CWE-104,TP,0.0
CWE-1069,TP,1.0
CWE-1255,TP,2.0
CWE-135,TP,1.0
CWE-300,TP,1.0
CWE-307,TP,3.0
CWE-309,TP,2.0
CWE-336,TP,2.0
CWE-338,TP,2.0
CWE-594,TP,1.0
CWE-763,TP,4.0
CWE-790,TP,1.0
CWE-797,TP,1.0
CWE-799,TP,1.0
CWE-909,TP,4.0
CWE-95,TP,2.0
CWE-104,TN,1.0
CWE-1069,TN,1.0
CWE-1255,TN,0.0
CWE-135,TN,0.0
CWE-300,TN,0.0
CWE-307,TN,0.0
CWE-309,TN,0.0
CWE-336,TN,0.0
CWE-338,TN,0.0
CWE-594,TN,1.0
CWE-763,TN,0.0
CWE-790,TN,0.0
CWE-797,TN,0.0
CWE-799,TN,0.0
CWE-909,TN,2.0
CWE-95,TN,1.0
CWE-104,FP,0.0
CWE-1069,FP,0.0
CWE-1255,FP,0.0
CWE-135,FP,0.0
CWE-300,FP,0.0
CWE-307,FP,1.0
CWE-309,FP,0.0
CWE-336,FP,0.0
CWE-338,FP,0.0
CWE-594,FP,0.0
CWE-763,FP,3.0
CWE-790,FP,0.0
CWE-797,FP,0.0
CWE-799,FP,1.0
CWE-909,FP,0.0
CWE-95,FP,0.0
CWE-104,FN,1.0
CWE-1069,FN,0.0
CWE-1255,FN,0.0
CWE-135,FN,0.0
CWE-300,FN,0.0
CWE-307,FN,0.0
CWE-309,FN,0.0
CWE-336,FN,0.0
CWE-338,FN,0.0
CWE-594,FN,0.0
CWE-763,FN,0.0
CWE-790,FN,0.0
CWE-797,FN,0.0
CWE-799,FN,0.0
CWE-909,FN,0.0
CWE-95,FN,0.0
