cwe,Metric,Rate
CWE-104,True Positive Rate,0.0
CWE-1069,True Positive Rate,1.0
CWE-1255,True Positive Rate,1.0
CWE-135,True Positive Rate,1.0
CWE-300,True Positive Rate,1.0
CWE-307,True Positive Rate,1.0
CWE-309,True Positive Rate,1.0
CWE-336,True Positive Rate,1.0
CWE-338,True Positive Rate,1.0
CWE-594,True Positive Rate,1.0
CWE-763,True Positive Rate,1.0
CWE-790,True Positive Rate,1.0
CWE-797,True Positive Rate,1.0
CWE-799,True Positive Rate,1.0
CWE-909,True Positive Rate,1.0
CWE-95,True Positive Rate,1.0
CWE-104,True Negative Rate,1.0
CWE-1069,True Negative Rate,1.0
CWE-1255,True Negative Rate,0.0
CWE-135,True Negative Rate,0.0
CWE-300,True Negative Rate,0.0
CWE-307,True Negative Rate,0.0
CWE-309,True Negative Rate,0.0
CWE-336,True Negative Rate,0.0
CWE-338,True Negative Rate,0.0
CWE-594,True Negative Rate,1.0
CWE-763,True Negative Rate,0.0
CWE-790,True Negative Rate,0.0
CWE-797,True Negative Rate,0.0
CWE-799,True Negative Rate,0.0
CWE-909,True Negative Rate,1.0
CWE-95,True Negative Rate,1.0
CWE-104,False Positive Rate,0.0
CWE-1069,False Positive Rate,0.0
CWE-1255,False Positive Rate,0.0
CWE-135,False Positive Rate,0.0
CWE-300,False Positive Rate,0.0
CWE-307,False Positive Rate,1.0
CWE-309,False Positive Rate,0.0
CWE-336,False Positive Rate,0.0
CWE-338,False Positive Rate,0.0
CWE-594,False Positive Rate,0.0
CWE-763,False Positive Rate,1.0
CWE-790,False Positive Rate,0.0
CWE-797,False Positive Rate,0.0
CWE-799,False Positive Rate,1.0
CWE-909,False Positive Rate,0.0
CWE-95,False Positive Rate,0.0
CWE-104,False Negative Rate,1.0
CWE-1069,False Negative Rate,0.0
CWE-1255,False Negative Rate,0.0
CWE-135,False Negative Rate,0.0
CWE-300,False Negative Rate,0.0
CWE-307,False Negative Rate,0.0
CWE-309,False Negative Rate,0.0
CWE-336,False Negative Rate,0.0
CWE-338,False Negative Rate,0.0
CWE-594,False Negative Rate,0.0
CWE-763,False Negative Rate,0.0
CWE-790,False Negative Rate,0.0
CWE-797,False Negative Rate,0.0
CWE-799,False Negative Rate,0.0
CWE-909,False Negative Rate,0.0
CWE-95,False Negative Rate,0.0
